[[[0.08211485740856007], [0.14898030819221997], [0.116139665671632], [0.12374314092948269], [0.05620352617035832], [0.10677529732234672], [0.129622258043851], [0.061851975927682615], [0.08935125975985513], [0.10130458186773435]], '|', 0, 0.0, 0.0, 0]
[[[0.04507530719012977], [0.11260637568169168], [0.13384642590340134], [0.06561936236672054], [0.1140218391465643], [0.047508663550502726], [0.09845217962935796], [0.03536910581186821], [0.14485670832942657], [0.11635602151747312]], '|', 2, 0.0, 0.0, 0]
[[[0.09901532176496887], [0.06899353523323362], [0.1509502372063511], [0.1786840699701894], [0.025680725422129902], [0.14944656121811284], [0.16510603012595626], [0.11352046786297904], [0.052029278706592554], [0.13453381270176087]], '|', 4, 0.0, 0.0, 0]
[[[0.09276318791687399], [0.07584317488826971], [0.05079767457332152], [0.12202149983904863], [0.13171227463677393], [0.07505877081280833], [0.12082305348293484], [0.05422634441507429], [0.1320744412748538], [0.10186269193696583]], '|', 3, 0.004152, 9.997, 0]
[[[0.09253720912370605], [0.0959301650988342], [0.13475544628023473], [0.13001646559460034], [0.12117861297410838], [0.10550804839989544], [0.10311284511650824], [0.12473521047994099], [0.10929978236714952], [0.1273020562745794]], '|', 2, 0.0, 0.0, 0]
[[[0.08759532905927761], [0.0026064894357144403], [0.14155298407437658], [0.18747918587897033], [0.1176545777427433], [0.09599379066866001], [0.09454221024415868], [0.0952378324890076], [0.1006963763320002], [0.055119250850124465]], '|', 3, 0.004152, 9.995, 0]
[[[0.07931622168319089], [0.06011892689398948], [0.10995196645551082], [0.0881343539051655], [0.11980845295911843], [0.09301187361029997], [0.13945340751284968], [0.10854135605341768], [0.18762798915878937], [0.024145563084356295]], '|', 2, 0.0, 0.0, 0]
[[[0.07412333246980368], [0.13605947566594845], [0.20113302827225593], [0.0900546088913816], [0.10174675972713557], [0.09094743029945579], [0.15325828450350368], [0.08850768546095925], [0.12720279359512418], [0.08720793604405315]], '|', 4, 0.0, 0.0, 0]
[[[0.04909764979016022], [0.11254190881853729], [0.12012739253741306], [0.15172903530129048], [0.09558211894330736], [0.07530551745150557], [0.12251044386476106], [0.1096294836895093], [0.11122660308490556], [0.0970754918501089]], '|', 4, 1.0, 0.8198111871498462, 1]
[[[0.1464135427997508], [0.11477970865502896], [0.17618634833363928], [0.1444422679424202], [0.12636199184400843], [0.0349024663753497], [0.12409277121182517], [0.11681128814588239], [0.13243806691214224], [0.14177768378829037]], '|', 1, 1.0, 0.3700480300162332, 1]
[[[0.08396487232844294], [0.13296022473801633], [0.07750778275923641], [0.1781951230003614], [0.046721933339310066], [0.029572457584048653], [0.03397114936703599], [0.06437777663347806], [0.05523538405761088], [0.17824315614814568]], '|', 3, 0.004152, 9.99, 0]
[[[0.08694002007687263], [0.04629296842490256], [0.1445753190711917], [0.0765390424471363], [0.0505258649383441], [0.13503355710597198], [0.12493448706312132], [0.0826017326817909], [0.15630160000964916], [0.10516406318842902]], '|', 4, 1.0, 0.003655440774844391, 1]
[[[0.164677983954292], [0.12010963527999619], [0.1623522216247944], [0.10437610785701713], [0.051210224120838685], [0.1979747459624559], [0.0781690332806973], [0.09204648548444413], [0.07198405980314981], [0.09186422204141767]], '|', 3, 0.004152, 9.988, 0]
[[[0.10970677764327179], [0.10807320715496017], [0.12644081150394773], [0.1716863283590227], [0.0951814171284597], [0.05067517058214293], [0.05270727493961465], [0.07336981927203494], [0.03303216769524271], [0.13300119297755944]], '|', 0, 1.0, 0.3056799254245878, 1]
[[[0.08007145745475688], [0.08756060086788597], [0.09992434068647986], [0.044135183016182716], [0.06554734556895832], [0.1269884610275189], [0.12474156523145175], [0.08227312277197449], [0.17242139656501826], [0.047770923097690494]], '|', 4, 1.0, 0.758167276427534, 1]
[[[0.08620051159380082], [0.09076641027458122], [-0.011723400005861626], [0.17750115254464321], [0.11465328058160235], [0.058216424723688334], [0.1820469377142978], [0.12342648000689531], [0.11718104560087858], [0.07572006407199816]], '|', 3, 0.0, 0.0, 0]
[[[0.10424890896140872], [0.03897278735082568], [0.1318010437769938], [0.08502246724627117], [0.10536192786218493], [0.14808219448798826], [0.11138992443396233], [0.11049869781853075], [0.11105997219288735], [0.07066913584418749]], '|', 1, 0.0, 0.0, 0]
[[[0.13344018877737077], [0.16173436443217937], [0.13035222640391725], [0.13539635257859534], [0.06490873924327246], [0.06528851108508298], [0.0423649590283264], [0.14929012283313747], [0.08983280529570527], [0.15599375769923945]], '|', 1, 0.0, 0.0, 0]
[[[0.06872353269252797], [0.08249964068685676], [0.10381700348765031], [0.13685800274638046], [0.10243000783198028], [0.10844499020030868], [0.10066110269222463], [0.10708750881103843], [0.05534119928461022], [0.10323708403893116]], '|', 1, 0.0, 0.0, 0]
[[[0.09253684025954136], [0.09772702076456612], [0.11969346223746596], [0.07277287435964457], [0.09661967890381482], [0.08810552468905986], [0.1166920801989945], [0.13139082604062358], [0.061782989505052434], [0.12343641724410463]], '|', 0, 0.0, 0.0, 0]
[[[0.18263133280875338], [0.041153722966695], [0.06679312418739544], [0.06477689600623315], [0.08883609113826839], [0.16491396343816006], [0.10053410705388707], [0.07221225618851095], [0.12487214017222291], [0.07600781875716611]], '|', 4, 0.0, 0.0, 0]
[[[0.14493648648087742], [0.11221068160976044], [0.15555117585481076], [0.07354623027387926], [0.22123428449488125], [0.1329833850013383], [0.12618320610346803], [0.09795246209569344], [0.0709761152346229], [0.06528925289505638]], '|', 0, 0.0, 0.0, 0]
[[[0.09456090695597644], [0.0681092085802748], [0.11130702848993682], [0.06695610272610719], [0.12484330803356035], [0.13824486816498788], [0.07176637970390864], [0.14770744271018776], [0.0904823225699127], [0.146211515443529]], '|', 2, 0.0, 0.0, 0]
